timestamp,body_acc_x,body_acc_y,body_acc_z,body_gyro_x,body_gyro_y,body_gyro_z,ActivityName,Activity
1745415452803,,,,-0.0026725354,0.007483099,0.00015271631,SITTING,4
1745415452984,,,,-0.0008399397,0.0032070426,0.00015271631,SITTING,4
1745415453164,-0.088585466,0.6464345,9.557953,-0.0026725354,-0.0041233404,-0.00045814895,SITTING,4
1745415453345,-0.11971009,0.6368576,9.574712,0.000992656,-0.0016798794,0.00076358154,SITTING,4
1745415453527,-0.10055647,0.641646,9.565135,0.000992656,-0.0016798794,-0.00045814895,SITTING,4
1745415453706,-0.088585466,0.6440403,9.572318,,,,SITTING,4
1745415453707,,,,-0.00022907447,0.00015271631,0.00015271631,SITTING,4
1745415453888,-0.079008654,0.6392518,9.608231,0.00038179077,-0.00045814895,0.00076358154,SITTING,4
1745415454068,-0.079008654,0.6512229,9.589077,0.0016035213,-0.0022907446,-0.00045814895,SITTING,4
1745415454244,-0.095768064,0.6464345,9.629779,0.0016035213,-0.00290161,0.00015271631,SITTING,4
1745415454426,-0.095768064,0.63206923,9.536405,-0.0008399397,0.0032070426,0.00015271631,SITTING,4
1745415454606,-0.22984336,0.61052144,9.282619,-0.021609358,0.09483683,0.006872234,SITTING,4
1745415454786,-0.21547815,0.62488663,9.589077,-0.0020616702,0.0013744468,0.00015271631,SITTING,4
1745415454965,-0.20590134,0.58418524,9.560347,0.000992656,0.001985312,0.00076358154,SITTING,4
1745415455144,-0.21308395,0.59376204,9.584289,0.00038179077,0.00076358154,-0.00045814895,SITTING,4
1745415455325,-0.22026655,0.59376204,9.565135,-0.003894266,-0.0010690142,0.00015271631,SITTING,4
1745415455505,-0.21787235,0.61052144,9.581895,0.00038179077,0.00076358154,-0.00045814895,SITTING,4
1745415455686,-0.20829555,0.60333884,9.565135,-0.0008399397,-0.00045814895,0.00015271631,SITTING,4
1745415455865,-0.20590134,0.581791,9.572318,0.0016035213,0.001985312,0.00076358154,SITTING,4
1745415456045,-0.19153613,0.59615624,9.598654,0.000992656,0.00076358154,-0.00045814895,SITTING,4
1745415456225,-0.19393034,0.59376204,9.577106,,,,SITTING,4
1745415456227,,,,-0.0008399397,-0.00045814895,0.00076358154,SITTING,4
1745415456406,-0.21547815,0.58897364,9.584289,-0.00022907447,0.0013744468,0.00015271631,SITTING,4
1745415456584,-0.22026655,0.58897364,9.56753,-0.0008399397,-0.00045814895,0.00015271631,SITTING,4
1745415456764,-0.21308395,0.60094464,9.589077,0.0016035213,0.0013744468,-0.00045814895,SITTING,4
1745415456944,-0.20111294,0.58418524,9.572318,-0.00022907447,0.00015271631,0.00015271631,SITTING,4
1745415457125,-0.22266077,0.59136784,9.581895,0.000992656,0.0013744468,-0.00045814895,SITTING,4
1745415457305,-0.22266077,0.58657944,9.5795,0.00038179077,0.00076358154,0.00015271631,SITTING,4
1745415457486,-0.21547815,0.581791,9.562741,-0.001450805,-0.00045814895,0.00076358154,SITTING,4
1745415457665,-0.21308395,0.59376204,9.577106,0.00038179077,-0.00045814895,0.00076358154,SITTING,4
1745415457845,-0.21547815,0.60812724,9.56753,-0.0008399397,0.00015271631,0.00015271631,SITTING,4
1745415458024,-0.20111294,0.581791,9.581895,-0.0020616702,-0.00045814895,0.00015271631,SITTING,4
1745415458205,-0.21787235,0.58657944,9.5795,0.000992656,0.0013744468,-0.00045814895,SITTING,4
1745415458385,-0.22026655,0.59136784,9.584289,-0.00022907447,0.00015271631,0.00076358154,SITTING,4
1745415458566,-0.22266077,0.5793968,9.5795,0.0022143866,0.0013744468,-0.00045814895,SITTING,4
1745415458745,-0.21068975,0.58418524,9.577106,-0.0026725354,-0.0016798794,0.00076358154,SITTING,4
1745415458926,-0.21547815,0.5793968,9.560347,0.0006872234,0.0006872234,0.00015271631,SITTING,4
1745415459106,-0.22744916,0.60333884,9.615414,0.0012980887,0.0006872234,0.00015271631,SITTING,4
1745415459285,-0.20590134,0.5793968,9.5795,,,,SITTING,4
1745415459286,,,,-0.0017562376,-0.0011453723,0.00015271631,SITTING,4
